Picture Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Red,173,191,167,186,176,188,177,183,160,162,173,208,188,196,188,183,208,198,210,195,187,202,197,209,190,186,196,196,203,191,187,
Green,202,206,189,197,189,201,192,205,218,228,220,222,225,214,209,206,209,200,206,198,197,199,185,204,198,187,191,188,196,184,188,
Blue,184,194,177,185,176,197,188,194,179,184,145,187,148,164,155,149,171,155,158,168,146,167,172,189,196,177,182,183,188,175,188,
2981 C1 W-HW 4 water,7,0,15,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,127,0,0,1-Apr-19
2982 C1 W-HW 5 water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,1-Apr-19
2983 C1 W-HW 6 water,0,0,3,0,0,0,0,0,0,0,0,14,1,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,43,0,0,1-Apr-19
2984 C1 W-HW 7 water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,176,0,0,1-Apr-19
2985 C1 W-HW 8 water,5,0,22,0,0,0,0,0,0,0,0,13,2,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,180,0,0,1-Apr-19
2986 C1 W-HW 9 water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,1-Apr-19
3005 C1 W-HW 4 water,6,0,15,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,48,0,0,15-Apr-19
3006 C1 W-HW 5 water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,15-Apr-19
3007 C1 W-HW 6 water,0,0,1,0,0,0,0,0,0,0,0,4,2,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,315,0,0,15-Apr-19
3008 C1 W-HW 7 water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,15-Apr-19
3009 C1 W-HW 8 water,3,0,37,0,0,0,0,0,0,0,0,12,0,13,0,0,0,0,8,0,0,0,0,0,0,0,0,0,121,0,0,15-Apr-19
3010 C1 W-HW 9 water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40,0,0,15-Apr-19
1420 C1 W-HW 4 water,4,0,17,0,0,0,0,0,0,0,0,6,4,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,39,0,0,2-Aug-18
1421 C1 W-HW 5 water,0,0,4,0,0,0,0,0,0,0,0,8,3,9,0,0,0,0,21,0,0,0,0,0,0,0,0,0,62,0,0,2-Aug-18
1422 C1 W-HW 6 water,8,0,22,0,0,0,0,0,0,0,0,11,2,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,135,0,0,2-Aug-18
1423 C1 W-HW 7 water,3,0,7,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,135,0,0,2-Aug-18
1424 C1 W-HW 8 water,20,0,15,0,0,0,0,0,0,0,0,19,2,13,0,0,0,0,5,0,0,0,0,0,0,0,0,0,127,0,0,2-Aug-18
1425 C1 W-HW 9 water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,2-Aug-18
1426 C1 W-HW 13 drought,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,416,0,0,2-Aug-18
1427 C1 W-HW 14 drought,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2-Aug-18
1428 C1 W-HW 15 drought,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,39,0,0,2-Aug-18
1429 C1 W-HW 16 drought,0,0,5,0,0,0,0,0,0,0,0,13,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,216,0,0,2-Aug-18
1430 C1 W-HW 17 drought,3,0,13,0,0,0,0,0,0,0,0,17,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,2-Aug-18
1431 C1 W-HW 18 drought,0,0,3,0,0,0,0,0,0,0,0,37,0,23,0,0,0,0,5,0,0,0,0,0,0,0,0,0,41,0,0,2-Aug-18
1432 C1 W-HW 19 drought,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,36,0,0,2-Aug-18
1433 C1 W-HW 20 drought,0,0,2,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,83,0,0,2-Aug-18
1434 C1 W-HW 21 drought,0,0,0,0,0,0,0,0,0,0,0,20,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,150,0,0,2-Aug-18
1435 C1 W-HW 22 drought,0,0,1,0,0,0,0,0,0,0,0,12,2,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49,0,0,2-Aug-18
1436 C1 W-HW 23 drought,2,0,13,0,0,0,0,0,0,0,0,21,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,2-Aug-18
1437 C1 W-HW 24 drought,1,0,7,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,71,0,0,0,0,0,0,0,0,0,479,0,0,2-Aug-18
1438 C1 W-HW 25 drought,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25,0,0,2-Aug-18
1439 C1 W-HW 26 drought,0,0,2,0,0,0,0,0,0,0,0,34,0,21,0,0,0,0,5,0,0,0,0,0,0,0,0,0,25,0,0,2-Aug-18
1440 C1 W-HW 27 drought,2,0,4,0,0,0,0,0,0,0,0,7,14,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,69,0,0,2-Aug-18
1508 C1 W-HW 4 water,11,0,16,0,0,0,0,0,0,0,0,4,5,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,56,0,0,10-Aug-18
1509 C1 W-HW 5 water,1,0,3,0,0,0,0,0,0,0,0,5,8,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,235,0,0,10-Aug-18
1510 C1 W-HW 6 water,10,0,7,0,0,0,0,0,0,0,0,7,6,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,57,0,0,10-Aug-18
